Halduj	Halisarca dujardinii	Porifera
Hsap	Homo sapiens	Chordata
Mmus	Mus musculus	Chordata
Xentro	Xenopus tropicalis	Chordata
Cint	Ciona intestinalis	Chordata
Oikdio	Oikopleura dioica	Chordata
Bralan	Branchiostoma lanceolatum	Chordata
Bflz	Branchiostoma floridae	Chordata
Spur	Strongylocentrotus purpuratus	Echinodermata
Pliv	Paracentrotus lividus	Echinodermata
Lytvar	Lytechinus variegatus	Echinodermata
Lytpic	Lytechinus pictus	Echinodermata
Helery	Heliocidaris erythrogramma	Echinodermata
Heltub	Heliocidaris tuberculata	Echinodermata
Temree	Temnopleurus reevesii	Echinodermata
Apla	Acanthaster planci	Echinodermata
Astrub	Asterias rubens	Echinodermata
Astamu	Asterias amurensis	Echinodermata
Patpec	Patiria pectinifera	Echinodermata
Patmin	Patiria miniata	Echinodermata
Apojap	Apostichopus japonicus	Echinodermata
Holgla	Holothuria glaberrima	Echinodermata
Holsca	Holothuria scabra	Echinodermata
Annjap	Anneissia japonica	Echinodermata
Ophsar	Ophiura sarsii	Echinodermata
Ampfil	Amphiura filiformis	Echinodermata
Skow	Saccoglossus kowalevskii	Hemichordata
Ptyfla	Ptychodera flava	Hemichordata
Apimel	Apis mellifera	Arthropoda
Dmel	Drosophila melanogaster	Arthropoda
Pricau	Priapulus caudatus	Priapulida
Owefus	Owenia fusiformis	Annelida
Lgig	Lottia gigantea	Mollusca
Cgig	Crassostrea gigas	Mollusca
Linlon	Lineus longissimus	Nemertea
Ixosca	Ixodes scapularis	Arthropoda
Lpol	Limulus polyphemus	Arthropoda	
Ocupat	Oculina patagonica	Cnidaria
Chem	Clytia hemisphaerica	Cnidaria
Notgen	Notospermus geniculatus	Nemertea 
Nvec	Nematostella vectensis	Cnidaria
Amil	Acropora millepora	Cnidaria
Spis	Stylophora pistillata	Cnidaria
Dgig	Dendronephthya gigantea	Cnidaria
Xesp	Xenia sp.	Cnidaria
Hvul	Hydra vulgaris	Cnidaria
Rhoesc	Rhopilema esculentum	Cnidaria
Tadh	Trichoplax adhaerens H1	Placozoa
Hhon	Hoilungia hongkongensis H13	Placozoa
HoiH23	Cladtertia collaboinventa	Placozoa
Mlei	Mnemiopsis leidyi	Ctenophora
Bolmic	Bolinopsis microptera	Ctenophora
Bolinf	Bolinopsis infundibulum	Ctenophora
Plebac	Pleurobrachia bachei	Ctenophora
Horcal	Hormiphora californiensis	Ctenophora
Berova	Beroe ovata	Ctenophora
Beraby	Beroe abyssicola	Ctenophora
Berfor	Beroe forskalii	Ctenophora
Vmul	Vallicula multiformis	Ctenophora
Coeast	Coeloplana astericola	Ctenophora
Coemet	Coeloplana meteoris	Ctenophora
Drygla	Dryodora glandiformis	Ctenophora
Eupdun	Euplokamis dunlapae	Ctenophora
Mertsp	Mertensiidae sp.	Ctenophora
Merovu	Mertensia ovum	Ctenophora
Lampan	Lampea pancerina	Ctenophora
Aque	Amphimedon queenslandica	Porifera
Halind	Haliclona indistincta	Porifera
Petfic	Petrosia ficiformis	Porifera
Xesmut	Xestospongia muta	Porifera
Spolac	Spongilla lacustris	Porifera
Emue	Ephydatia muelleri	Porifera
Eunfra	Eunapius fragilis	Porifera
Axidam	Axinella damicornis	Porifera
Ageoro	Agelas oroides	Porifera
Tetwil	Tethya wilhelma	Porifera
Halpan	Halichondria panicea	Porifera
Diaery	Diacarnus erythraeanus	Porifera
Cracra	Crambe crambe	Porifera
Lychyp	Lycopodina hypogea	Porifera
Cliori	Cliona orientalis	Porifera
Theswi	Theonella swinhoei	Porifera
Choren	Chondrosia reniformis	Porifera
Chocar	Chondrilla caribensis	Porifera
Aplaer	Aplysina aerophoba	Porifera
